author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Sotirou, Peter",1993,Articulating a hermeneutic pedagogy: The philosophy of interpretation,JAC: Journal of Advanced Composition,13,2,365-380,365,380,,http://www.jacweb.org/archives.htm,,"interpretation, hermeneutics, methodology, pedagogy, theory, Gadamer, pedagogy, philosophy",,"*JAC: Journal of Advanced Composition 13.2*, 365-380"
"Johnson-Eilola, Johndan",1993,Control and the cyborg: Writing and being written in hypertext,JAC: Journal of Advanced Composition,13,2,381-400,381,400,,http://www.jacweb.org/archives.htm,,"computer, hypertext, authorship, cyborg, feminism, Donna Haraway, writer-control",,"*JAC: Journal of Advanced Composition 13.2*, 381-400"
"Schiappa, Edward",1993,Burkean tropes and Kuhnian science: A social constructionist perspective on language and reality,JAC: Journal of Advanced Composition,13,2,401-422,401,422,,http://www.jacweb.org/archives.htm,,"Kenneth Burke, Thomas Kuhn, metaphor, trope, science, social, constructivism, epistemological, social-epistemic, discourse, epistemic, production, constructionist, language, reality, social",,"*JAC: Journal of Advanced Composition 13.2*, 401-422"
"de Beaugrande, Robert",1993,Discourse analysis and literary theory: Closing the gap,JAC: Journal of Advanced Composition,13,2,423-448,423,448,,http://www.jacweb.org/archives.htm,,"discourse-analysis, lit-crit, bridging",,"*JAC: Journal of Advanced Composition 13.2*, 423-448"
"Tompkins, Jane",1993,Postcards from the edge,JAC: Journal of Advanced Composition,13,2,449-458,449,458,,http://www.jacweb.org/archives.htm,,marginality,,"*JAC: Journal of Advanced Composition 13.2*, 449-458"
"Shoos, Diane; Diana George; Joseph Comprone",1993,Twin Peaks and the look of television: Visual literacy in the writing class,JAC: Journal of Advanced Composition,13,2,459-476,459,476,,http://www.jacweb.org/archives.htm,,"television, hermeneutics, visual, literacy, Twin Peaks, pedagogy",,"*JAC: Journal of Advanced Composition 13.2*, 459-476"
"Wiley, Mark",1993,How to read a book: Reflections on the ethics of book reviewing,JAC: Journal of Advanced Composition,13,2,477-492,477,492,,http://www.jacweb.org/archives.htm,,"review-writing, book-review, ethical, ecological, critique, ethical, discipline, ethics",,"*JAC: Journal of Advanced Composition 13.2*, 477-492"
"Welch, Nancy",1993,"One student's many voices: Reading, writing, and responding with Bakhtin",JAC: Journal of Advanced Composition,13,2,493-502,493,502,,http://www.jacweb.org/archives.htm,,"Bakhtin, read-write, response, voice, multivocal, individual, private-public, dialogic",,"*JAC: Journal of Advanced Composition 13.2*, 493-502"
"Bishop, Wendy",1993,Writing is/and therapy?: Raising questions about writing classrooms and writing program administration,JAC: Journal of Advanced Composition,13,2,503-516,503,516,,http://www.jacweb.org/archives.htm,,"WPA, pedagogy, bibliotherapy, bibliotherapy",,"*JAC: Journal of Advanced Composition 13.2*, 503-516"
"Wells, Susan",1993,The malaprop in spite of herself: A desperate reading of Donald Davidson,JAC: Journal of Advanced Composition,13,2,517-522,517,522,,http://www.jacweb.org/archives.htm,,Donald Davidson,,"*JAC: Journal of Advanced Composition 13.2*, 517-522"
"Dasenbrock, Reed Way; Donald Davidson",1993,"A response to 'Language Philosophy, Writing, and Reading: A Conversation with Donald Davidson' [interview]",JAC: Journal of Advanced Composition,13,2,523-528,523,528,,http://www.jacweb.org/archives.htm,,"Donald Davidson, language-theory, philosophy",,"*JAC: Journal of Advanced Composition 13.2*, 523-528"
"Wiley, Mark",1993,Building a rose garden: A response to John Trimbur,JAC: Journal of Advanced Composition,13,2,529-534,529,534,,http://www.jacweb.org/archives.htm,,John Trimbur,,"*JAC: Journal of Advanced Composition 13.2*, 529-534"
"Olson, Gary A. [bell hooks]",1994,bell hooks and the politics of literacy: A conversation [interview],JAC: Journal of Advanced Composition,14,1,1-20,1,20,,http://www.jacweb.org/archives.htm,,"literacy, political, bell hooks, multicultural",,"*JAC: Journal of Advanced Composition 14.1*, 1-20"
"Burnett, Rebecca E.; Helen Rothschild Ewald",1994,"Rabbit trails, ephemera, and other stories: Feminist methodology and collaborative research",JAC: Journal of Advanced Composition,14,1,21-52,21,52,,http://www.jacweb.org/archives.htm,,"research-method, feminism, collaboration, researcher-perception, ethnographic, group interaction, advanced, methodological",,"*JAC: Journal of Advanced Composition 14.1*, 21-52"
"Ervin, Elizabeth; Dana L. Fox",1994,Collaboration as political action,JAC: Journal of Advanced Composition,14,1,53-72,53,72,,http://www.jacweb.org/archives.htm,,"collaboration, political action, academy, institutional, conflict, graduate, University of Arizona, plagiarism, faculty-mentor, change",,"*JAC: Journal of Advanced Composition 14.1*, 53-72"
"Holt, Mara",1994,Dewey and the 'cult of efficiency': Competing ideologies in collaborative pedagogies of the 1920s,JAC: Journal of Advanced Composition,14,1,73-92,73,92,,http://www.jacweb.org/archives.htm,,"collaboration, pedagogy, 1920s, history, John Dewey, efficiency, USA, Project Method, Dalton Plan, ideology, pedagogy, progressivism",,"*JAC: Journal of Advanced Composition 14.1*, 73-92"
"Gaillet, Lynee Lewis",1994,An historical perspective on collaborative learning,JAC: Journal of Advanced Composition,14,1,93-110,93,110,,http://www.jacweb.org/archives.htm,,"collaboration, history, George Jardine, peer-editing",,"*JAC: Journal of Advanced Composition 14.1*, 93-110"
"Qualley, Donna J.; Elizabeth Chiseri-Strater",1994,Collaboration as reflexive dialogue: A knowing 'deeper than reason',JAC: Journal of Advanced Composition,14,1,111-130,111,130,,http://www.jacweb.org/archives.htm,,"collaboration, reflexivity, dialogue, student-centered, group, case-study, transformative",,"*JAC: Journal of Advanced Composition 14.1*, 111-130"
"Goodburn, Amy; Beth Ina",1994,"Collaboration, critical pedagogy, and struggles over difference",JAC: Journal of Advanced Composition,14,1,131-148,131,148,,http://www.jacweb.org/archives.htm,,"collaboration, critique, critical pedagogy, difference, composition-studies, group, case-study, pedagogy",,"*JAC: Journal of Advanced Composition 14.1*, 131-148"
"Wolf, Thia; Lauren Wright; Tom Imhoff",1994,Collaborative role-play and negotiation: A cross-disciplinary endeavor,JAC: Journal of Advanced Composition,14,1,149-166,149,166,,http://www.jacweb.org/archives.htm,,"collaboration, role-playing, negotiation, cross-disciplinary, ethical, classroom, ethnographic, case-study, negotiation",,"*JAC: Journal of Advanced Composition 14.1*, 149-166"
"Leverenz, Carrie Shively",1994,Peer response in the multicultural composition classroom: Dissensus--a dream (deferred),JAC: Journal of Advanced Composition,14,1,167-186,167,186,,http://www.jacweb.org/archives.htm,,"peer-evaluation, multicultural, dissent, case-study, group, data",,"*JAC: Journal of Advanced Composition 14.1*, 167-186"
"Gergits, Julia M.; James J. Schramer",1994,The collaborative classroom as a site of difference,JAC: Journal of Advanced Composition,14,1,187-202,187,202,,http://www.jacweb.org/archives.htm,,"collaboration, classroom, difference, group, evaluation, teacher-student, student-memo",,"*JAC: Journal of Advanced Composition 14.1*, 187-202"
"Morgan, Meg",1994,Women as emergent leaders in student collaborative writing groups,JAC: Journal of Advanced Composition,14,1,203-220,203,220,,http://www.jacweb.org/archives.htm,,"collaboration, women, leadership, classroom, group, talk-write, task, emergent",,"*JAC: Journal of Advanced Composition 14.1*, 203-220"
"Fey, Marion H",1994,Finding voice through computer communication: A new venue for collaboration,JAC: Journal of Advanced Composition,14,1,221-238,221,238,,http://www.jacweb.org/archives.htm,,"computer, internet, voice, collaboration, peer-dialogue, networked, syllabus",,"*JAC: Journal of Advanced Composition 14.1*, 221-238"
"Rider, Janine; Esther Broughton",1994,"Moving out, moving up: Beyond the basement and ivory tower",JAC: Journal of Advanced Composition,14,1,239-256,239,256,,http://www.jacweb.org/archives.htm,,"collaboration, academy-community, teacher-story",,"*JAC: Journal of Advanced Composition 14.1*, 239-256"
"Lyon, Arabella",1994,"'The good man speaking well, ' or business as usual [response to 'Literary theory, philosophy of science, and persuasive discourse: Thoughts from a neo-premodernist']",JAC: Journal of Advanced Composition,14,1,257-263,257,263,,http://www.jacweb.org/archives.htm,,"rhetoric, Stephen Toulmin, consensus, pluralism, persuasive, philosophy",,"*JAC: Journal of Advanced Composition 14.1*, 257-263"
"Swearingen, C. Jan",1994,"Novissimum organum: Phronesis on the rebound [response to 'Literary theory, philosophy of science, and persuasive discourse: Thoughts from a neo-premodernist']",JAC: Journal of Advanced Composition,14,1,264-270,264,270,,http://www.jacweb.org/archives.htm,,"phronesis, praxis, reasoning, Aristotle, Stephin Toulmin, rhetoric, history, persuasive, philosophy",,"*JAC: Journal of Advanced Composition 14.1*, 264-270"
"Bizzell, Patricia",1994,Are shared discourses desirable? A response to Nancy ['A postmodern critique of the modern projects of Fredric Jameson and Patricia Bizzell]' McKoski,JAC: Journal of Advanced Composition,14,1,271-277,271,277,,http://www.jacweb.org/archives.htm,,"postmodernism, cultural, community, individual, pluralism, contemporary, shared discourse",,"*JAC: Journal of Advanced Composition 14.1*, 271-277"
"Brell, C. David",1994,Piaget's transactionalism: A response to David Russell,JAC: Journal of Advanced Composition,14,1,278-280,278,280,,http://www.jacweb.org/archives.htm,,"Piaget, development, transactional",,"*JAC: Journal of Advanced Composition 14.1*, 278-280"
"Russell, David R",1994,Piaget's structuralism: A reply [to C. David Brell],JAC: Journal of Advanced Composition,14,1,281-288,281,288,,http://www.jacweb.org/archives.htm,,"Piaget, structuralism",,"*JAC: Journal of Advanced Composition 14.1*, 281-288"
"Ewald, Helen Rothschild",1994,A response to Jane Tompkins,JAC: Journal of Advanced Composition,14,1,289-290,289,290,,http://www.jacweb.org/archives.htm,,"political, Jane Tompkins",,"*JAC: Journal of Advanced Composition 14.1*, 289-290"
"Olson, Gary A.; J. Hillis Miller",1994,"Rhetoric, cultural studies, and the future of critical theory: A conversation with J. Hillis Miller [interview]",JAC: Journal of Advanced Composition,14,2,317-346,317,346,,http://www.jacweb.org/archives.htm,,"J. Hillis Miller, rhetoric, cultural-studies, lit-crit",,"*JAC: Journal of Advanced Composition 14.2*, 317-346"
"Giroux, Henry A",1994,Slacking off: Border youth and postmodern education,JAC: Journal of Advanced Composition,14,2,347-366,347,366,,http://www.jacweb.org/archives.htm,,"cultural, border, marginality, education, postmodernism, backlash, film, change, contemporary",,"*JAC: Journal of Advanced Composition 14.2*, 347-366"
"Pullman, George L",1994,"Rhetoric and hermeneutics: Composition, invention, and literature",JAC: Journal of Advanced Composition,14,2,367-388,367,388,,http://www.jacweb.org/archives.htm,,"rhetoric, hermeneutics, invention, bridging, interpretation, theory-practice, history",,"*JAC: Journal of Advanced Composition 14.2*, 367-388"
"Grant, Gordon A",1994,Re-fusing the edifice: Postmodernism and the reconstruction of English studies,JAC: Journal of Advanced Composition,14,2,389-412,389,412,,http://www.jacweb.org/archives.htm,,"postmodernism, English-studies, change, epistemological, ethical, read-write",,"*JAC: Journal of Advanced Composition 14.2*, 389-412"
"Quandahl, Ellen",1994,The anthropological sleep of composition,JAC: Journal of Advanced Composition,14,2,413-430,413,430,,http://www.jacweb.org/archives.htm,,"composition-studies, research-method, ethnographic, student participant, Foucault, power",,"*JAC: Journal of Advanced Composition 14.2*, 413-430"
"Peritz, Janice H",1994,When learning is not enough: Writing across the curriculum and the (re)turn to rhetoric,JAC: Journal of Advanced Composition,14,2,431-454,431,454,,http://www.jacweb.org/archives.htm,,"WAC, rhetoric, Goran Therborn, ideology",,"*JAC: Journal of Advanced Composition 14.2*, 431-454"
"Gale, Xin Liu",1994,Conversing across cultural boundaries: Rewriting 'self',JAC: Journal of Advanced Composition,14,2,455-462,455,462,,http://www.jacweb.org/archives.htm,,"cultural, marginality, self, teacher-story, ESL, Chinese, graduate",,"*JAC: Journal of Advanced Composition 14.2*, 455-462"
"Campbell, Kermit E",1994,The 'signifying monkey' revisited: Vernacular discourse and African American personal narratives,JAC: Journal of Advanced Composition,14,2,463-474,463,474,,http://www.jacweb.org/archives.htm,,"African-Am, vernacular, AAVE, signifyin(g), oral, revisionary, personal-narrative",,"*JAC: Journal of Advanced Composition 14.2*, 463-474"
"Rosner, Mary",1994,Values in doing and writing science: The case of Barbara McClintock,JAC: Journal of Advanced Composition,14,2,475-494,475,494,,http://www.jacweb.org/archives.htm,,"science-writing, value, Barbara McClintock, biology, constructivist",,"*JAC: Journal of Advanced Composition 14.2*, 475-494"
"Rosner, Mary",1994,Values in doing and writing science: The case of Barbara McClintock,JAC: Journal of Advanced Composition,14,2,475-494,475,494,,http://www.jacweb.org/archives.htm,,"science-writing, value, Barbara McClintock, biology, constructivist",,"*JAC: Journal of Advanced Composition 14.2*, 475-494"
"Horner, Bruce",1994,Resisting traditions in composing composition,JAC: Journal of Advanced Composition,14,2,495-520,495,520,,http://www.jacweb.org/archives.htm,,"current-traditional, resistance, composition-studies, tradition, William E. Coles, David Bartholomae, history, reception, tradition",,"*JAC: Journal of Advanced Composition 14.2*, 495-520"
"Mead, Dana Gulling; Kerri K. Morris",1994,The bewitching of composition: Metaphors of our discipline,JAC: Journal of Advanced Composition,14,2,521-530,521,530,,http://www.jacweb.org/archives.htm,,"discipline-metaphor, journey, grail, CCCC, English-profession, metaphor-analysis",,"*JAC: Journal of Advanced Composition 14.2*, 521-530"
